,Stemmed_Comments,Fixed_Comments
7373,nice rik aku dukung tetap diri lue aku slalu nonton konten lue apa itu tetap semangatdidik kamu cari youtubers bikin content didik bukan ngatain itu semua orang maksud tentu kalau buruk jangan laku kalau baik ambil sisi baik makanya punya otak pake perfect aja,nice rik aku dukung tetap diri lue aku slalu nonton konten lue apa itu tetap semangatdidik kamu cari youtubers bikin content didik bukan ngatain itu semua orang maksud tentu kalau buruk jangan laku kalau baik ambil sisi baik makanya punya otak pake perfect aja
7374,muka kamu ganteng yg kamu bayangin,muka kamu ganteng yg kamu bayangin
7375,kalau kamu ngusik masalah agama gua unsub kamu rik udah kamu jalan kaya gin aja rik perlu orang yg begini biar yutub flat,kalau kamu ngusik masalah agama gua unsub kamu rik udah kamu jalan kaya gin aja rik perlu orang yg begini biar yutub flat
7376,sirik tanda mampuh,sirik tanda mampuh
7377,aku cinta channel erickolim kalau channel pamer kaya,aku cinta channel erickolim kalau channel pamer kaya
7378,dasar umat goblok koment pedes kamu si ericko lim ngaruh hidup bodo jadi inti kamu ank tidak guna tolol hehe,dasar umat tidak pengertian koment pedes kamu si ericko lim ngaruh hidup bodo jadi inti kamu ank tidak guna tidak pengertian hehe
7379,apa cuma asa aku aja kalau edit si eric niru pewdiepie kalau iya brrti si eric kurang kreatif,apa cuma asa aku aja kalau edit si eric niru pewdiepie kalau iya brrti si eric kurang kreatif
7380,a cuma asa aku aja kalau edit si eric niru pewdiepie kalau iya brrti si eric kurang kreatif,a cuma asa aku aja kalau edit si eric niru pewdiepie kalau iya brrti si eric kurang kreatif
7381,mantap bangg,mantap bangg
7382,aku suka koq sama bang erick,aku suka koq sama bang erick
7383,hate nonton bilang faedah nonton bilang gausah upload bilang jelek jelekin dia nonton lah piye ki karepane hatersmu rick wkwkwk bilang kamu sampah guna ky kntl tapi omong asa lebih bangke kontol yg busuk gitu mbil sisi baik makanya punya otak pake perfect aja,hate nonton bilang faedah nonton bilang gausah upload bilang jelek jelekin dia nonton lah piye ki karepane hatersmu rick wkwkwk bilang kamu limbah guna ky kntl tapi omong asa lebih bangke alat kelamin pria yg busuk gitu mbil sisi baik makanya punya otak pake perfect aja
7384,best scene buat yg hemat kuota auto tertawa,best scene buat yg hemat kuota auto tertawa
7385,ericko bangkai,ericko mayat
7386,santay aja we don t give a fuck pada mesti sok suci pdhl sndiri coly x hari,santay aja we don t give a fuck pada mesti sok suci pdhl sndiri coly x hari
7387,haaahaa,haaahaa
7388,banyak yg hate comment bang pada mau masuk part,banyak yg hate comment bang pada mau masuk part
7389,sumpah dulu aku benci erick pas aku lihat video aku jadi suka chenel ericko,sumpah dulu aku benci erick pas aku lihat video aku jadi suka chenel ericko
7390,bang ericko lim biar hatersmu tetap rim berkah bang wkwkw mantab tertawa aku liat vidio semngat terus bang,bang ericko lim biar hatersmu tetap rim berkah bang wkwkw mantab tertawa aku liat vidio semngat terus bang
7391,apa si bngst iklan banyak banget,apa si bngst iklan banyak banget
7392,asli baik orang cuma konten doang,asli baik orang cuma konten doang
7393,anjirr baper yg komen ten doang,anjirr baper yg komen ten doang
7394,haters gelas peju hasil threesome,haters gelas peju hasil threesome
7395,aku suka elu elu munafik sok baik toxic toxic aja,aku suka elu elu tidak jujur sok baik toxic toxic aja
7396,hmmmmppsssshhh ahhhh bau mem,hmmmmppsssshhh ahhhh bau mem
7397,rip kuping bangsat,rip kuping tidak bermoral
7398,haters comment video kamu nyuruh gausah upload video tapi nontonin video kamu nunggu kamu upload video biar ngebully mungkin juga subscribe channel kamu biar ngebully telat erasa lebih bangke kontol yg busuk gitu mbil sisi baik makanya punya otak pake perfect aja,haters comment video kamu nyuruh gausah upload video tapi nontonin video kamu nunggu kamu upload video biar ngebully mungkin juga subscribe channel kamu biar ngebully telat erasa lebih bangke alat kelamin pria yg busuk gitu mbil sisi baik makanya punya otak pake perfect aja
7399,jangan kerja uang kerja senang rasa senang kerja bukan kau kejar uang tapu ulang lah kejar mu,jangan kerja uang kerja senang rasa senang kerja bukan kau kejar uang tapu ulang lah kejar mu
7400,mantul sayang kuy ngegay aja,mantul sayang kuy ngegay aja
7401,njir dewa,njir dewa
7402,dasar benci gblk braninya cuma medsos doang,dasar benci gblk braninya cuma medsos doang
7403,chanel didik tidak faedah nya,chanel didik tidak faedah nya
7404,next collab ama qorygore kntl,next collab ama qorygore kntl
7405,konten seru skrg zzzz,konten seru skrg zzzz
7406,sabar ric gua tau kontol kamu kontol kontol nya ada kontol lgi nah situ elu anjing,sabar ric gua tau alat kelamin pria kamu alat kelamin pria alat kelamin pria nya ada alat kelamin pria lgi nah situ elu hewan ternak
7407,uwuwuwuw bodoh aku ttp sayang kamu hehe,uwuwuwuw tidak pengertian aku ttp sayang kamu hehe
7408,manusia jembut,manusia rambut kemaluan
7409,haters siapa tau auto kaya jugal kontol nya ada kontol lgi nah situ elu anjing,haters siapa tau auto kaya jugal alat kelamin pria nya ada alat kelamin pria lgi nah situ elu hewan ternak
7410,mending erick pada liat majelis lucu yg lucu nya botak kacamata anjing,mending erick pada liat majelis lucu yg lucu nya botak kacamata hewan ternak
7411,panutan mantap boss banyak haters mah tetep sans terus banyakin konten yak haters kamu miskin humor nymakin miskin gblk beli kouta ngehate gblk,panutan mantap boss banyak haters mah tetep sans terus banyakin konten yak haters kamu kurang kaya humor nymakin kurang kaya gblk beli kouta ngehate gblk
7412,tertawa anjirtap boss banyak haters mah tetep sans terus banyakin konten yak haters kamu miskin humor nymakin miskin gblk beli kouta ngehate gblk,tertawa anjirtap boss banyak haters mah tetep sans terus banyakin konten yak haters kamu kurang kaya humor nymakin kurang kaya gblk beli kouta ngehate gblk
7413,suka tolol nya alami beri tuhan,suka tidak pengertian nya alami beri tuhan
7414,semangat bang erik tetep jalan kamu orang entertaiment buat hibur soapers usah duli haters inti tetep sama diri kamu bang gua yakin sifat laku kamu kalau belakang kamera buruk depan kamera mbil sisi baik makanya punya otak pake perfect aja,semangat bang erik tetep jalan kamu orang entertaiment buat hibur soapers usah duli haters inti tetep sama diri kamu bang gua yakin sifat laku kamu kalau belakang kamera buruk depan kamera mbil sisi baik makanya punya otak pake perfect aja
7415,hahaha semenjak gua subscribe eri coli m bahasa indonesia gua lebih baik,hahaha semenjak gua subscribe eri coli m bahasa indonesia gua lebih baik
7416,woy toxix kamu keren bang miss eric jaman old,woy toxix kamu keren bang miss eric jaman old
7417,krik krik krik haha slow soapking,krik krik krik haha slow soapking
7418,this is ma boy ericko lim,this is ma boy ericko lim
7419,iyee subscribe kok bang,iyee subscribe kok bang
7420,benci kamu kbnyakan micin wkwk,benci kamu kbnyakan micin wkwk
7421,hatters blgin erick kontol lim sampah bangkai salah kamu,hatters blgin erick alat kelamin pria lim limbah mayat salah kamu
7422,keren rick the best buat erikolim,keren rick the best buat erikolim
7423,woyy mana ktanya jt subscribe botak omdo,woyy mana ktanya jt subscribe botak omdo
7424,buat haters bikin lebih keras no skip dahalah kamu,buat haters bikin lebih keras no skip dahalah kamu
7425,moba kok analog,moba kok analog
7426,anjenk muke kamu kaya uya kuya bgst,anjenk muke kamu kaya uya kuya bgst
7427,anjing qorygaaaahhhhh bro bro wkwkwkwk mantap rick,hewan ternak qorygaaaahhhhh bro bro wkwkwkwk mantap rick
7428,haters guna anjingo bro wkwkwkwk mantap rick,haters guna anjingo bro wkwkwkwk mantap rick
7429,give aplaus for haters broo bro wkwkwkwk mantap rick,give aplaus for haters broo bro wkwkwkwk mantap rick
7430,mantap auto subscribe,mantap auto subscribe
7431,gua kapan jadi top comen sihh anjing,gua kapan jadi top comen sihh hewan ternak
7432,sabar ae lah cuk meski elu jelek dekil toxic parah idup tapi ttp support kamu kok,sabar ae lah cuk meski elu jelek dekil toxic parah idup tapi ttp support kamu kok
7433,anjay toxic toxiu jelek dekil toxic parah idup tapi ttp support kamu kok,anjay toxic toxiu jelek dekil toxic parah idup tapi ttp support kamu kok
7434,gua dukung kamu nyet walaupun kamu kontol,gua dukung kamu nyet walaupun kamu alat kelamin pria
7435,lord qorygoooooooorrrrrrrreeeeeee,lord qorygoooooooorrrrrrrreeeeeee
7436,minim konten bang,minim konten bang
7437,wkwk jancok biar chanel kamu ber faedah gua suka anjing,wkwk jancok biar chanel kamu ber faedah gua suka hewan ternak
7438,ngehate nggapapa tidak usah bawa bawa orangtua goblok,ngehate nggapapa tidak usah bawa bawa orangtua tidak pengertian
7439,youtuber centang nongol be lyke,youtuber centang nongol be lyke
7440,buat erickontoru anjing pakai intro dora ngentot dah kangen,buat erickontoru hewan ternak pakai intro dora berhubungan intim dah kangen
7441,mas erickooo kamu jelek ganteng muka miskin kaya kamu bodoh pinter kamu jago ngehibur meski pake kata kata kotor mantab banget,mas erickooo kamu jelek ganteng muka kurang kaya kaya kamu tidak pengertian pinter kamu jago ngehibur meski pake kata kata kotor mantab banget
7442,woi erikontol anjing bangsad kamu keren bang terus buat orang tertwa,woi erikontol hewan ternak bangsad kamu keren bang terus buat orang tertwa
7443,mudah an aja subscriber kamu semua rik,mudah an aja subscriber kamu semua rik
7444,hatters apa,hatters apa
7445,sadiiss crottt,sadiiss crottt
7446,woi anjg kamu bilang dong kalau pngn buat konten baca komen heaters komen gwa pngn kamu baca anjg wkwkwks,woi anjg kamu bilang dong kalau pngn buat konten baca komen heaters komen gwa pngn kamu baca anjg wkwkwks
7447,buat kalian selalu maksain semua channel didik banyak kok channel didik lai mata najwa national geographic jadi kalau ajar politik liat mata najwa kalau ajar ttg tahu alam national geohraphic kalau aku sendiri liat channel erikolim pas mo berak aja biar lancar so ambil positif gaes kalian gaperlu hate orang maksain semua channel didik emang ni platform punya nenek kamu ngentot,buat kalian selalu maksain semua channel didik banyak kok channel didik lai mata najwa national geographic jadi kalau ajar politik liat mata najwa kalau ajar ttg tahu alam national geohraphic kalau aku sendiri liat channel erikolim pas mo buang air besar aja biar lancar so ambil positif gaes kalian gaperlu hate orang maksain semua channel didik emang ni platform punya nenek kamu berhubungan intim
7448,aku subscribe kamu kamu suka makan jembut,aku subscribe kamu kamu suka makan rambut kemaluan
7449,terus younglex udah mao insap wkwkwkw,terus younglex udah mao insap wkwkwkw
7450,wkwkkww bangsat kamu lim h mao insap wkwkwkw,wkwkkww tidak bermoral kamu lim h mao insap wkwkwkw
7451,jangan lupa follow instagram pan jrx gapake,jangan lupa follow instagram pan jrx gapake
7452,santuy bego konten didik jangan tonton simple kamu kira mikir ide buat video mudah kamu coli ome tv buat ericko auto kaya terusss semangatlitik liat mata najwa kalau ajar ttg tahu alam national geohraphic kalau aku sendiri liat channel erikolim pas mo berak aja biar lancar so ambil positif gaes kalian gaperlu hate orang maksain semua channel didik emang ni platform punya nenek kamu ngentot,santuy tidak pintar konten didik jangan tonton simple kamu kira mikir ide buat video mudah kamu coli ome tv buat ericko auto kaya terusss semangatlitik liat mata najwa kalau ajar ttg tahu alam national geohraphic kalau aku sendiri liat channel erikolim pas mo buang air besar aja biar lancar so ambil positif gaes kalian gaperlu hate orang maksain semua channel didik emang ni platform punya nenek kamu berhubungan intim
7453,napa si gajel njir geli,napa si gajel njir geli
7454,awal nya gua ketawa pas bagi read hate comment mood gua langsung ken nge bacok orang anjing pas sad momen nya muncul rasa tu ken ngentot pake kondom nya tu amplas aja gitu ngerusak mood gua anjing,awal nya gua ketawa pas bagi read hate comment mood gua langsung ken nge bacok orang hewan ternak pas sad momen nya muncul rasa tu ken berhubungan intim pake kondom nya tu amplas aja gitu ngerusak mood gua hewan ternak
7455,bang kak audy knpa jarang bikin vidio bang,bang kak audy knpa jarang bikin vidio bang
7456,nampar muka haters kamu paling bsa io bang,nampar muka haters kamu paling bsa io bang
7457,erikontoll channel bangsat tidak berpaedah aneh nya aku suka sama konten kamu aku nge fans sama kamu moga subsc nya tambah banyak bos,erikontoll channel tidak bermoral tidak berpaedah aneh nya aku suka sama konten kamu aku nge fans sama kamu moga subsc nya tambah banyak bos
7458,yg baca subscribe mandul ajg,yg baca subscribe mandul ajg
7459,gausah peduliin yg hate kamu rik sudut pandang tu sangat sangat rendah mereka gatau kamu sebenernya,gausah peduliin yg hate kamu rik sudut pandang tu sangat sangat rendah mereka gatau kamu sebenernya
7460,tenang kamu njing aku soapers kamu paling setia jadi terus karya kamu bangsat biarpun banyak haters anggap aja sperma g,tenang kamu njing aku soapers kamu paling setia jadi terus karya kamu tidak bermoral biarpun banyak haters anggap aja sperma g
7461,sadar lah wahai haters soapking bacod an kalian bakal ngaruh anjink percuma kamu yg goblok sendiri bacod sini koar koar jelas ericknya dapet adsense,sadar lah wahai haters soapking bacod an kalian bakal ngaruh anjink percuma kamu yg tidak pengertian sendiri bacod sini koar koar jelas ericknya dapet adsense
7462,kamu emang ganteng rick kamu banyak lemak nya lemak gendut,kamu emang ganteng rick kamu banyak lemak nya lemak berisi
7463,anti skip skip club kamu banyak lemak nya lemak gendut,anti skip skip club kamu banyak lemak nya lemak berisi
7464,kyak diri kamu pas kamu bilang org punya akal sehat jdi tau apa yg di contoh yg enggak wkwkkw anjingg,kyak diri kamu pas kamu bilang org punya akal sehat jdi tau apa yg di contoh yg enggak wkwkkw anjingg
7465,akhir opening jess is back,akhir opening jess is back
7466,langsung bikin bang part nya wkwk,langsung bikin bang part nya wkwk
7467,wokwokwowkok tertawa so hard funny jink haters kamu banyak omong mending suruh heat kamu coli jam smpe taun,wokwokwowkok tertawa so hard funny jink haters kamu banyak omong mending suruh heat kamu coli jam smpe taun
7468,clickbait tolol,clickbait tidak pengertian
7469,nice,nice
7470,woy gua udah subscribe elu subscribe kamu k gua pernah kasih lope lope sampe skrng bangsat,woy gua udah subscribe elu subscribe kamu k gua pernah kasih lope lope sampe skrng tidak bermoral
7471,gausah dengerin bang kata haters,gausah dengerin bang kata haters
7472,turunin gp anjeng,turunin gp anjeng
7473,wahhh son of zeus qorygore mana suara,wahhh son of zeus qorygore mana suara
7474,bang bkin lagu komen hatters donk wkwk gpp wlaupun toxic smuaa,bang bkin lagu komen hatters donk wkwk gpp wlaupun toxic smuaa
7475,hahahahhlagu komen hatters donk wkwk gpp wlaupun toxic smuaa,hahahahhlagu komen hatters donk wkwk gpp wlaupun toxic smuaa
7476,gua peduli bang sama komenan kamu bang gua jujur tetep suka sama kamu vang jujur jadi apa ada suka suka hidup sendiri yg penting bahagia bang,gua peduli bang sama komenan kamu bang gua jujur tetep suka sama kamu vang jujur jadi apa ada suka suka hidup sendiri yg penting bahagia bang
7477,paling enak emang ngomong bau memek depan bokin,paling enak emang ngomong bau alat kelamin wanita depan bokin
7478,jangan kalah sama orang yg suka ngejudge kamu rick aku ttp support kamu mimpi aku cuma ken foto bareng sama kamu cuma kapan tetap semangt panutan,jangan kalah sama orang yg suka ngejudge kamu rick aku ttp support kamu mimpi aku cuma ken foto bareng sama kamu cuma kapan tetap semangt panutan
7479,kamu pinter kamu rendah hati kamu gapernah sombong kamu baik banget kamu gapernah ngajarin orang jelek semua yg kamu ikan youtube tu pengaruh banget gua jadi makas rick kamu dah jadi orang yg slalu inspirasi buat gua,kamu pinter kamu rendah hati kamu gapernah sombong kamu baik banget kamu gapernah ngajarin orang jelek semua yg kamu ikan youtube tu pengaruh banget gua jadi makas rick kamu dah jadi orang yg slalu inspirasi buat gua
